한글,영어,카테고리
종류,type,명사
주의,attention,명사
중요하다,important,형용사
즐기다,enjoy,동사
지식,knowledge,명사
지키다,keep,동사
집중하다,concentrate,동사
참여하다,participate,동사
찾다,find,동사
책임,responsibility,명사
철학,philosophy,명사
체험,experience,명사
최선,best,명사
친절하다,kind,형용사
크다,big,형용사
특별하다,special,형용사
표현하다,express,동사
필요하다,necessary,형용사
학습,learning,명사
행복,happiness,명사
현재,present,명사
협력,cooperation,명사
환경,environment,명사
활동,activity,명사
효과,effect,명사
힘들다,hard,형용사
가게,store,명사
가구,furniture,명사
가스,gas,명사
가을,autumn,명사
가족,family,명사
각도,angle,명사
간호사,nurse,명사
강의,lecture,명사
개구리,frog,명사
거울,mirror,명사
건물,building,명사
게임,game,명사
결과,result,명사
경기,game,명사
경찰,police,명사
계단,stairs,명사
고기,meat,명사
고래,whale,명사
공기,air,명사
공장,factory,명사
공항,airport,명사
과학,science,명사
교사,teacher,명사
교통,traffic,명사
구름,cloud,명사
국가,country,명사
군인,soldier,명사
그림,painting,명사
근육,muscle,명사
기계,machine,명사
기후,climate,명사
나비,butterfly,명사
날개,wing,명사
남극,south pole,명사
내일,tomorrow,명사
냉장고,refrigerator,명사
노트북,laptop,명사
눈썹,eyebrow,명사
다리,bridge,명사
달력,calendar,명사
담요,blanket,명사
대통령,president,명사
도로,road,명사
도서관,library,명사
독서,reading,명사
동물,animal,명사
두통,headache,명사
등산,hiking,명사
디자인,design,명사
라디오,radio,명사
로봇,robot,명사
마음,mind,명사
만화,cartoon,명사
모래,sand,명사
모험,adventure,명사
목소리,voice,명사
무대,stage,명사
문화,culture,명사
미술,art,명사
바위,rock,명사
박물관,museum,명사
반지,ring,명사
발음,pronunciation,명사
방향,direction,명사
배낭,backpack,명사
버스,bus,명사
벽,wall,명사
별자리,constellation,명사
병원,hospital,명사
보물,treasure,명사
봉사,volunteer,명사
부모,parents,명사
비밀,secret,명사
비행기,airplane,명사
사계절,four seasons,명사
사막,desert,명사
사진,photo,명사
산소,oxygen,명사
상자,box,명사
색깔,color,명사
생물,biology,명사
서랍,drawer,명사
선물,gift,명사
설탕,sugar,명사
섬,island,명사
소방관,firefighter,명사
소설,novel,명사
수학,math,명사
숙제,homework,명사
스마트폰,smartphone,명사
시험,exam,명사
식물,plant,명사
신문,newspaper,명사
싸움,fight,명사
아이디어,idea,명사
악기,instrument,명사
안경,glasses,명사
야채,vegetable,명사
약국,pharmacy,명사
어휘,vocabulary,명사
언어,language,명사
얼굴,face,명사
에너지,energy,명사
여름,summer,명사
역할,role,명사
연구,research,명사
영웅,hero,명사
예술,art,명사
온도,temperature,명사
왕,king,명사
외국,foreign country,명사
우주,universe,명사
운동장,playground,명사
원칙,principle,명사
월급,salary,명사
위험,danger,명사
유리,glass,명사
음료,beverage,명사
의견,opinion,명사
의미,meaning,명사
이웃,neighbor,명사
인물,figure,명사
인터뷰,interview,명사
일기,diary,명사
자동차,car,명사
자전거,bicycle,명사
작가,author,명사
잠자리,dragonfly,명사
장갑,gloves,명사
장면,scene,명사
재능,talent,명사
저축,savings,명사
전기,electricity,명사
전통,tradition,명사
정원,garden,명사
제목,title,명사
조각,piece,명사
종교,religion,명사
주말,weekend,명사
중학교,middle school,명사
지구,earth,명사
지도,map,명사
진실,truth,명사
차이,difference,명사
창문,window,명사
채소,vegetable,명사
철학,philosophy,명사
초등학교,elementary school,명사
축구,soccer,명사
축제,festival,명사
출발,departure,명사
취미,hobby,명사
카드,card,명사
컵,cup,명사
태양,sun,명사
태풍,typhoon,명사
텔레비전,television,명사
토론,debate,명사
특징,characteristic,명사
파도,wave,명사
편의점,convenience store,명사
포기,giving up,명사
표정,expression,명사
풍경,scenery,명사
학년,grade,명사
한국,Korea,명사
항공,aviation,명사
해결,solution,명사
현상,phenomenon,명사
화산,volcano,명사
확인,confirmation,명사
환자,patient,명사
훈련,training,명사
희망,hope,명사
고양이,cat,동물
강아지,dog,동물
토끼,rabbit,동물
곰,bear,동물
사자,lion,동물
호랑이,tiger,동물
코끼리,elephant,동물
기린,giraffe,동물
원숭이,monkey,동물
펭귄,penguin,동물
여우,fox,동물
늑대,wolf,동물
사슴,deer,동물
말,horse,동물
소,cow,동물
돼지,pig,동물
양,sheep,동물
닭,chicken,동물
오리,duck,동물
독수리,eagle,동물
앵무새,parrot,동물
상어,shark,동물
고래,whale,동물
돌고래,dolphin,동물
문어,octopus,동물
거북이,turtle,동물
개구리,frog,동물
뱀,snake,동물
악어,crocodile,동물
다람쥐,squirrel,동물
햄스터,hamster,동물
얼룩말,zebra,동물
하마,hippo,동물
낙타,camel,동물
캥거루,kangaroo,동물
코알라,koala,동물
판다,panda,동물
북극곰,polar bear,동물
홍학,flamingo,동물
공작,peacock,동물
참새,sparrow,동물
까마귀,crow,동물
부엉이,owl,동물
벌,bee,동물
나비,butterfly,동물
개미,ant,동물
무당벌레,ladybug,동물
달팽이,snail,동물
지렁이,worm,동물
금붕어,goldfish,동물
장미,rose,식물
해바라기,sunflower,식물
튤립,tulip,식물
벚꽃,cherry blossom,식물
국화,chrysanthemum,식물
난초,orchid,식물
민들레,dandelion,식물
라벤더,lavender,식물
선인장,cactus,식물
대나무,bamboo,식물
소나무,pine tree,식물
단풍나무,maple tree,식물
은행나무,ginkgo tree,식물
버드나무,willow tree,식물
야자나무,palm tree,식물
참나무,oak tree,식물
풀,grass,식물
이끼,moss,식물
고사리,fern,식물
클로버,clover,식물
사과,apple,과일
바나나,banana,과일
오렌지,orange,과일
포도,grape,과일
딸기,strawberry,과일
수박,watermelon,과일
복숭아,peach,과일
배,pear,과일
체리,cherry,과일
망고,mango,과일
파인애플,pineapple,과일
키위,kiwi,과일
레몬,lemon,과일
라임,lime,과일
멜론,melon,과일
블루베리,blueberry,과일
자두,plum,과일
감,persimmon,과일
귤,tangerine,과일
코코넛,coconut,과일
침대,bed,생활용품
책상,desk,생활용품
의자,chair,생활용품
소파,sofa,생활용품
냉장고,refrigerator,생활용품
세탁기,washing machine,생활용품
전자레인지,microwave,생활용품
에어컨,air conditioner,생활용품
선풍기,fan,생활용품
텔레비전,television,생활용품
청소기,vacuum cleaner,생활용품
다리미,iron,생활용품
냄비,pot,생활용품
프라이팬,frying pan,생활용품
젓가락,chopsticks,생활용품
숟가락,spoon,생활용품
포크,fork,생활용품
컵,cup,생활용품
접시,plate,생활용품
그릇,bowl,생활용품
칫솔,toothbrush,생활용품
치약,toothpaste,생활용품
비누,soap,생활용품
샴푸,shampoo,생활용품
수건,towel,생활용품
거울,mirror,생활용품
빗,comb,생활용품
가위,scissors,생활용품
우산,umbrella,생활용품
시계,clock,생활용품
가방,bag,생활용품
지갑,wallet,생활용품
열쇠,key,생활용품
양초,candle,생활용품
달력,calendar,생활용품
액자,picture frame,생활용품
쿠션,cushion,생활용품
이불,blanket,생활용품
베개,pillow,생활용품
머리,head,신체부위
얼굴,face,신체부위
눈,eye,신체부위
코,nose,신체부위
입,mouth,신체부위
귀,ear,신체부위
목,neck,신체부위
어깨,shoulder,신체부위
팔,arm,신체부위
팔꿈치,elbow,신체부위
손,hand,신체부위
손가락,finger,신체부위
손목,wrist,신체부위
가슴,chest,신체부위
배,belly,신체부위
허리,waist,신체부위
등,back,신체부위
엉덩이,hip,신체부위
다리,leg,신체부위
무릎,knee,신체부위
발,foot,신체부위
발가락,toe,신체부위
발목,ankle,신체부위
이마,forehead,신체부위
뺨,cheek,신체부위
턱,chin,신체부위
눈썹,eyebrow,신체부위
속눈썹,eyelash,신체부위
혀,tongue,신체부위
이,tooth,신체부위
입술,lip,신체부위
손톱,fingernail,신체부위
발톱,toenail,신체부위
피부,skin,신체부위
뼈,bone,신체부위
근육,muscle,신체부위
심장,heart,신체부위
폐,lung,신체부위
위,stomach,신체부위
뇌,brain,신체부위
피,blood,신체부위
독수리,eagle,동물
까마귀,crow,동물
제비,swallow,동물
두루미,crane,동물
비둘기,pigeon,동물
참새,sparrow,동물
딱따구리,woodpecker,동물
올빼미,owl,동물
앵무새,parrot,동물
홍학,flamingo,동물
공작,peacock,동물
펠리컨,pelican,동물
타조,ostrich,동물
황새,stork,동물
물개,seal,동물
해달,sea otter,동물
북극여우,arctic fox,동물
들소,bison,동물
코뿔소,rhinoceros,동물
하이에나,hyena,동물
치타,cheetah,동물
재규어,jaguar,동물
오랑우탄,orangutan,동물
고릴라,gorilla,동물
침팬지,chimpanzee,동물
미어캣,meerkat,동물
아르마딜로,armadillo,동물
두더지,mole,동물
고슴도치,hedgehog,동물
족제비,weasel,동물
수달,otter,동물
라마,llama,동물
알파카,alpaca,alpaca,동물
들고양이,wildcat,동물
스컹크,skunk,동물
너구리,raccoon,동물
미어캣,meerkat,동물
카멜레온,chameleon,동물
이구아나,iguana,동물
도마뱀,lizard,동물
가오리,stingray,동물
해파리,jellyfish,동물
불가사리,starfish,동물
새우,shrimp,동물
게,crab,동물
바닷가재,lobster,동물
전복,abalone,동물
조개,clam,동물
오징어,squid,동물
